ingredient_or_family,mda_criterion,similar_mechanism_drugs,disclaimer,status,source_deck,deck_topic,category_code,notes
Penicillins,Short-term Tx for acute infection; dental prophylaxis for valve patients,Active infection → defer until resolved + waiting period; Dental prophylaxis → ask about underlying cardiac condition (valve replacement = permanent deferral consideration),,לבדוק,24,Antimicrobials Intro,ANTI,
Cephalosporins,"Very common for acute infections (pneumonia, UTI, surgical prophylaxis)",Active infection → defer until resolved + waiting period; Surgical prophylaxis alone is short-term,,לבדוק,24,Antimicrobials Intro,ANTI,
Carbapenems,Hospital-only IV; indicates serious/resistant infection,Hospitalization + serious infection → likely extended deferral; rare to see walk-in donor on carbapenems,,לבדוק,24,Antimicrobials Intro,ANTI,
Monobactams (Aztreonam),Hospital IV only; serious G− infections,Hospital drugs — not relevant for walk-in donors,,לבדוק,24,Antimicrobials Intro,ANTI,
Glycopeptides (Vancomycin),Hospital IV for MRSA; PO for C.diff — markers of serious infection,Hospital Tx = extended deferral; C.diff history may require longer wait,,לבדוק,24,Antimicrobials Intro,ANTI,
Daptomycin / Telavancin,Hospital IV only; MRSA/VRE bacteremia,Hospital drugs — not relevant for walk-in donors,,לבדוק,24,Antimicrobials Intro,ANTI,
Polymyxins,Last-resort for MDR G−; ICU setting,Hospital drugs — not relevant for walk-in donors,,לבדוק,24,Antimicrobials Intro,ANTI,
Tetracyclines,"Common outpatient: acne, chlamydia; long-term acne Tx possible",Acne Tx → generally eligible (cosmetic); Active infection → defer until resolved; CI pregnancy = already MDA-deferred,,לבדוק,24,Antimicrobials Intro,ANTI,
Aminoglycosides,Hospital IV (except neomycin topical); serious infections; teratogen,Hospital Tx = extended deferral; Topical neomycin = no issue,,לבדוק,24,Antimicrobials Intro,ANTI,
Macrolides,"Very common outpatient (respiratory, H.pylori); safe in pregnancy (Class B)",Active infection → defer until resolved + standard wait; Short-course Azithromycin very common,,לבדוק,24,Antimicrobials Intro,ANTI,
Chloramphenicol,Rare systemic use; topical (Synthomycin) very common in Israel,Systemic = serious infection → deferral; Topical Synthomycin = no issue for donation,,לבדוק,24,Antimicrobials Intro,ANTI,
Lincosamides (Clindamycin),Common for dental/skin infections; C.diff risk,Active infection → defer; Topical acne = no issue,,לבדוק,24,Antimicrobials Intro,ANTI,
Oxazolidinones (Linezolid),Hospital/specialist for resistant infections (VRE/MRSA),Serious infection marker → extended deferral,,לבדוק,24,Antimicrobials Intro,ANTI,
Fluoroquinolones,"Very common outpatient (UTI, respiratory, prostatitis)",Active infection → defer until resolved + standard wait; Very commonly encountered in donors,,לבדוק,24,Antimicrobials Intro,ANTI,
Sulfonamides / Cotrimoxazole,"Common outpatient (UTI, respiratory); Sulfasalazine for IBD/RA (chronic)",Active infection → standard deferral; Sulfasalazine = chronic autoimmune condition → check underlying disease,,לבדוק,24,Antimicrobials Intro,ANTI,
Nitrofurantoin / Methenamine,UTI treatment/prophylaxis; chronic suppressive use possible,Active UTI → defer until resolved; Chronic prophylaxis → ask why (recurrent UTI vs structural issue),,לבדוק,24,Antimicrobials Intro,ANTI,
ALL ANTIBIOTICS (general),"The INFECTION determines deferral, not the antibiotic itself in most cases",General MDA rule: completed antibiotic course for simple infection → typically eligible after short wait (varies by infection type). Active infection = always defer.,,לבדוק,24,Antimicrobials Intro,ANTI,
Glycylcyclines (Tigecycline),Hospital IV only; serious/resistant infections; FDA black box re mortality,Hospital drug — not relevant for walk-in donors; indicates serious infection,,לבדוק,25,Antimicrobials Detail,ANTI,
Streptogramins (Synercid),Hospital IV only; VRE/MRSA — last-resort infections,Hospital drug — not relevant for walk-in donors,,לבדוק,25,Antimicrobials Detail,ANTI,
Fosfomycin,Common outpatient single-dose UTI treatment; increasingly prescribed,Single-dose UTI Tx → standard infection deferral (short); very likely to see in donors,,לבדוק,25,Antimicrobials Detail,ANTI,
Additional Cephalosporins (oral Gen I-III),"Very common outpatient: Cephalexin, Cefixime, Cefdinir widely prescribed for respiratory/UTI/skin",Same logic as deck 24 cephalosporins — active infection → defer until resolved + standard wait,,לבדוק,25,Antimicrobials Detail,ANTI,
Anti-TB drugs (כל הקווים),מחלה זיהומית,"שחפת פעילה = 6-24 חודשי טיפול. המחלה קובעת, לא התרופה. יש לשאול האם טיפול מונע (LTBI) או מחלה פעילה",,לבדוק,27,Anti-TB + Antifungals,ANTI,
Isoniazid — LTBI מונותרפיה,תרופה — מניעה,"LTBI = לא מדבק, אך ניטור כבד. לשאול: האם שחפת פעילה או לטנטית? האם יש הפטיטיס?",,לבדוק,27,Anti-TB + Antifungals,ANTI,
Rifampin (מניעת מנינגיטיס),תרופה — מניעה,מניעה post-exposure. הקונטקט בריא. לאחר סיום טיפול קצר — כנראה כשיר,,לבדוק,27,Anti-TB + Antifungals,ANTI,
"Anti-Leprosy (Clofazimine, Dapsone)",מחלה זיהומית,צרעת = מחלה כרונית. טיפול 6-12 חודשים. Dapsone גורם להמוליזה — ספירות דם. שינוי צבע עור מ-Clofazimine,,לבדוק,27,Anti-TB + Antifungals,ANTI,
Amphotericin B IV,תרופה — אשפוזית,תרופת אשפוז לזיהומים מסכני חיים. חולים נויטרופניים / מושתלים. המצב הרפואי שולל תרומה,,לבדוק,27,Anti-TB + Antifungals,ANTI,
Fluconazole / Azoles סיסטמיים,תרופה — בירור,Fluconazole חד-פעמי לקנדידה ווגינלית = כנראה כשיר אחרי סיום. Voriconazole/Posaconazole = זיהום חמור = דחייה ארוכה. לשאול למה?,,לבדוק,27,Anti-TB + Antifungals,ANTI,
Terbinafine PO (פטרת ציפורניים),תרופה — כרוני,"פטרת ציפורניים = לא מדבק, לא סיסטמי. ייתכן כשיר גם תוך כדי טיפול? רעילות כבד אפשרית — בדיקת תפקודי כבד",,לבדוק,27,Anti-TB + Antifungals,ANTI,
Griseofulvin PO,תרופה — כרוני,פטרת עור/ציפורניים. משפעל CYP450. בדומה ל-Terbinafine — ייתכן כשיר? לבדוק,,לבדוק,27,Anti-TB + Antifungals,ANTI,
"Echinocandins IV (Caspofungin, Micafungin, Anidulafungin)",תרופה — אשפוזית,תרופות IV בלבד. קנדידמיה/אספרגילוזיס חודרני. מצב רפואי שולל תרומה,,לבדוק,27,Anti-TB + Antifungals,ANTI,
Nystatin / Clotrimazole טופיקלי,תרופה — טופיקלי,"טיפול מקומי בפטריה שטחית (פה, עור, ווגינה). לא סיסטמי. שכיח מאוד. כנראה לא מהווה דחייה",,לבדוק,27,Anti-TB + Antifungals,ANTI,
Flucytosine + AmB (שילוב),תרופה — אשפוזית,קריפטוקוקוס מנינגיטיס / קנדידה סיסטמי. חולים מדוכאי חיסון. מצב רפואי שולל תרומה,,לבדוק,27,Anti-TB + Antifungals,ANTI,
Dapsone — prophylaxis PCP,תרופה — מניעה,"Dapsone למניעת PCP = סמן לדיכוי חיסוני (AIDS, מושתלים). לשאול למה. Dapsone עצמו גורם המוליזה",,לבדוק,27,Anti-TB + Antifungals,ANTI,
Bedaquiline / Pretomanid / Delamanid,תרופה — שחפת עמידה,"MDR/XDR-TB = מחלה חמורה, טיפול ארוך, ניטור צמוד. הפרעות QT. המחלה קובעת — לא התרופה",,לבדוק,27,Anti-TB + Antifungals,ANTI,
"Topical antifungals (Miconazole, Econazole, etc.)",תרופה — טופיקלי,"פטרת עור שטחית. טיפול מקומי. לא משפיע על כשירות תרומה. שכיח מאוד (אגיספור, אגיסטן, דקטרין)",,לבדוק,27,Anti-TB + Antifungals,ANTI,
Oseltamivir (Tamiflu),תרופה — זיהום אקוטי,שפעת = זיהום אקוטי. דחייה סטנדרטית. לשאול: האם עדיין חולה? חום? אנטיביוטיקה נלווית?,,לבדוק,29,Antivirals,ANTI,
Acyclovir/Valacyclovir,תרופה — בירור,הרפס חוזר (labialis/genital): טיפול אפיזודי קצר — כנראה כשיר אחרי סיום. פרופילקטי כרוני: לשאול למה (דיכוי חיסוני?),,לבדוק,29,Antivirals,ANTI,
Ganciclovir/Valganciclovir,תרופה — דיכוי חיסוני,"CMV = סמן לדיכוי חיסוני (AIDS, מושתלים). נויטרופניה. המצב הרפואי קובע",,לבדוק,29,Antivirals,ANTI,
"Anti-HBV (Entecavir, TAF, Lamivudine)",תרופה — כרוני,הפטיטיס B כרוני = דחייה קבועה מתרומת דם (HBsAg+). בדיקות סרולוגיות. אם רק anti-HBs+ (חיסון) = כשיר,,לבדוק,29,Antivirals,ANTI,
"DAAs — HCV (Sofosbuvir, Harvoni, Mavyret)",תרופה — כרוני (ריפוי),HCV כרוני היה דחייה קבועה. עם DAAs שיעורי ריפוי >95%. אם SVR (sustained virologic response) = ריפוי. לבדוק מדיניות MDA עדכנית לגבי HCV cured,,לבדוק,29,Antivirals,ANTI,
Interferon (PEG-IFN),תרופה — בירור,HBV/HCV: ראה M29_04/05. לויקמיה: המחלה קובעת. Kaposi: סמן AIDS,,לבדוק,29,Antivirals,ANTI,
HIV HAART (כל המשפחות),תרופה — HIV,HIV = דחייה קבועה מתרומת דם. לא משנה סוג התרופה או Viral Load. בדיקת HIV חובה בכל תרומה,,לבדוק,29,Antivirals,ANTI,
PrEP (Truvada/Descovy/Cabotegravir),תרופה — מניעה,PrEP = אדם HIV-שלילי בסיכון גבוה. לא HIV+. אבל: יש לבדוק האם עדיין שלילי. התנהגות בסיכון עשויה להוות דחייה בפני עצמה. מדיניות MDA?,,לבדוק,29,Antivirals,ANTI,
PEP (Post-Exposure),תרופה — מניעה,חשיפה לדם/נוזלי גוף. לא HIV+ אך בחלון סרולוגי. לשאול: מתי הייתה החשיפה? האם סיים 28 ימים? בדיקת HIV שלילית?,,לבדוק,29,Antivirals,ANTI,
Paxlovid (COVID-19),תרופה — זיהום אקוטי,COVID = זיהום אקוטי. דחייה סטנדרטית לזיהום. 5 ימי טיפול. לשאול: סיים טיפול? ללא תסמינים?,,לבדוק,29,Antivirals,ANTI,
Ribavirin (HCV ישן),תרופה — כרוני,"Ribavirin+INF ל-HCV הוחלף ע""י DAAs. אם עדיין בטיפול: HCV+ = דחייה. Ribavirin גורם אנמיה המוליטית — ספירות!",,לבדוק,29,Antivirals,ANTI,
Tecovirimat (mpox),תרופה — זיהום אקוטי,Mpox = זיהום ויראלי. דחייה סטנדרטית. לשאול: ללא נגעים? ללא תסמינים?,,לבדוק,29,Antivirals,ANTI,
"Somatropin / Long-acting GH (F01, F13)",GH therapy indicates underlying pituitary/growth condition; condition determines eligibility,"Somapacitan, Lonapegsomatropin",,לבדוק,30,Pituitary Hormones,ENDO,Children with GHD unlikely to donate. Adults on anti-aging GH = off-label
Octreotide / Lanreotide / Pasireotide (F02),Acromegaly or neuroendocrine tumors = chronic condition / tumor,Pegvisomant (F03),,לבדוק,30,Pituitary Hormones,ENDO,Pituitary adenoma or carcinoid = likely medical deferral
GnRH Agonists (F05) — Prostate cancer,Cancer diagnosis = likely deferral regardless of treatment,"Elagolix, Relugolix (F12)",,לבדוק,30,Pituitary Hormones,ENDO,Same for breast cancer with goserelin
GnRH Agonists (F05) — Endometriosis,Chronic gynecological condition; no infection/hematologic risk from drug itself,Elagolix (F12),,לבדוק,30,Pituitary Hormones,ENDO,Drug is symptomatic; condition severity varies
"Fertility drugs (F06, F07, F08)",Active IVF cycle: ovarian hyperstimulation risk → temporary defer; post-treatment: standard pregnancy deferral,All gonadotropins,,לבדוק,30,Pituitary Hormones,ENDO,If pregnancy achieved → pregnancy/postpartum deferral applies
Bromocriptine / Cabergoline (F09),Prolactinoma = pituitary tumor → medical review. Excess lactation = breastfeeding → lactation deferral,—,,לבדוק,30,Pituitary Hormones,ENDO,Cabergoline also used for Parkinson's at higher doses (see deck 08-13)
Desmopressin (F10),Diabetes insipidus = chronic condition. Also used for von Willebrand disease / mild hemophilia A = coagulation disorder → likely deferral,Terlipressin (different indication),,לבדוק,30,Pituitary Hormones,ENDO,"Enuresis (bedwetting) use = children, not donation-relevant"
Oxytocin/Pitocin (F11),Labor/delivery context → standard pregnancy/postpartum deferral (6 months post-delivery),—,,לא רלוונטי,30,Pituitary Hormones,ENDO,Hospital drug; donor would be in postpartum period regardless
Cosyntropin (F04),"Diagnostic use only (ACTH stimulation test) — single dose, no ongoing treatment",—,,לא רלוונטי,30,Pituitary Hormones,ENDO,"The result of the test (Addison's diagnosis) matters, not the test drug"
Terlipressin (F10),Hepatorenal syndrome = severe liver failure → medical condition precludes donation,Desmopressin (different indication),,לא רלוונטי,30,Pituitary Hormones,ENDO,Hospital ICU drug; patient population would never present for donation
Levothyroxine (F01),Stable hypothyroidism on T4 replacement = VERY COMMON in donors. Condition well-controlled = likely eligible,"Liothyronine, Liotrix",,לבדוק,31,Thyroid Hormones,ENDO,Eltroxin is one of the most prescribed drugs in Israel. Many healthy donors take it daily. Key question: is condition stable?
Thioamides — PTU / Methimazole / Carbimazole (F02),Active hyperthyroidism under treatment; drug indicates condition not yet resolved or controlled,All thioamides equivalent for MDA purposes,,לבדוק,31,Thyroid Hormones,ENDO,Agranulocytosis risk (rare but serious) — low WBC could affect donation safety. After treatment ends and levels normalize → may be eligible
Radioactive Iodine I-131 (F04),Recent I-131 treatment = RADIATION source. Standard radiation deferral period applies,—,,לבדוק,31,Thyroid Hormones,ENDO,Patient becomes radioactive temporarily. Deferral likely 3-6 months minimum. After I-131 → usually hypothyroid → transitions to M01 (levothyroxine)
"Iodide Salts / β-Blockers for thyroid storm (F03, F05)",Thyroid storm = medical emergency / hospitalization → not a donation candidate,—,,לא רלוונטי,31,Thyroid Hormones,ENDO,Hospital drugs for acute crisis; person would not present for donation during thyroid storm
Teprotumumab (F06),Active Graves' ophthalmopathy requiring IV biologic treatment → underlying autoimmune condition + immunomodulation,—,,לבדוק,31,Thyroid Hormones,ENDO,New drug (2020); MDA unlikely to have specific criterion yet. Biologic + autoimmune → likely defer during treatment
Levothyroxine post-thyroid cancer (F01+F04),Thyroid cancer history → cancer deferral rules apply. TSH suppression dose of T4 indicates cancer follow-up,—,,לבדוק,31,Thyroid Hormones,ENDO,Higher T4 dose for TSH suppression (vs replacement dose) may signal cancer history
Insulin — all types (F01-F04),Insulin use = Type 1 or advanced Type 2. Key concern: HYPOGLYCEMIA risk during/after donation (blood loss lowers glucose further),All insulin preparations,,לבדוק,32,Diabetes Mellitus,ENDO,MDA criteria likely differentiate by diabetes type and control level. Insulin pump users = T1DM marker. Hypoglycemia during donation = safety risk for donor
Metformin (F07),"MOST COMMON oral DM drug. T2DM on metformin alone = well-controlled, low hypoglycemia risk → likely eligible",—,,לבדוק,32,Diabetes Mellitus,ENDO,Glucophage extremely prevalent in Israel. No hypoglycemia risk from drug itself. Key: is diabetes well-controlled (HbA1c)?
"Sulfonylureas / Glinides (F05, F06)",Hypoglycemia risk (especially glyburide); blood donation could exacerbate; condition determines eligibility,"Glyburide, Glipizide, Glimepiride, Repaglinide, Nateglinide",,לבדוק,32,Diabetes Mellitus,ENDO,Higher risk than metformin. Donor should have eaten; may need glucose monitoring
GLP-1 RAs — for diabetes (F11),Diabetes treatment; condition determines. Low hypoglycemia risk. Weight loss is side effect not concern,"Semaglutide, Liraglutide, Dulaglutide, Exenatide, Tirzepatide",,לבדוק,32,Diabetes Mellitus,ENDO,Increasingly common. Same eligibility logic as other T2DM drugs — depends on diabetes control
"GLP-1 RAs — for OBESITY only (F11, F14)",Wegovy/Saxenda/Zepbound for weight loss in NON-diabetic patients. No diabetes = different eligibility question,"Semaglutide (Wegovy), Liraglutide (Saxenda), Tirzepatide (Zepbound)",,לבדוק,32,Diabetes Mellitus,ENDO,Growing population of non-diabetic users. Drug itself = no hematologic concern. Question: does MDA ask about these?
SGLT2 Inhibitors (F12),Dual indication: diabetes AND heart failure/CKD (xref deck 21). For DM = condition eligibility. For HF = cardiac deferral,"Canagliflozin, Dapagliflozin, Empagliflozin",,לבדוק,32,Diabetes Mellitus,ENDO,Important to ask WHY the donor takes it — DM vs HF vs CKD. Different deferral logic
DPP-4 inhibitors / Alpha-glucosidase inh / TZDs (F08-F10),All indicate Type 2 DM treatment; no direct hematologic concern from drugs; diabetes control is key,All oral T2DM agents,,לבדוק,32,Diabetes Mellitus,ENDO,"Lower risk profile than insulin/sulfonylureas. Condition-based deferral, not drug-based"
"Diabetes complications (retinopathy, nephropathy, neuropathy)",Advanced complications may indicate poorly controlled DM or end-organ damage → medical review,—,,לבדוק,32,Diabetes Mellitus,ENDO,Donor with known complications likely has advanced disease. CKD stage affects overall eligibility
Ethinyl estradiol (OC),לבדוק — גלולות למניעת הריון,"All combined OCs, progestin-only pills",Y,,33,Gonadal Hormones,ENDO,Very common among female donors; OCs likely no deferral if stable. Check MDA criteria for specific contraceptive types
Tamoxifen,לבדוק — סרטן שד,"Toremifene, Raloxifene, Anastrozole, Letrozole, Fulvestrant",Y,,33,Gonadal Hormones,ENDO,"Breast cancer treatment → likely permanent deferral by condition, not by drug"
Clomiphene,לבדוק — טיפולי פוריות,"GnRH agonists, gonadotropins",Y,,33,Gonadal Hormones,ENDO,"Infertility treatment; donor likely deferred by condition/procedure (IVF, pregnancy attempt)"
Mifepristone,לבדוק — הפלה,Ulipristal (EC context only),Y,,33,Gonadal Hormones,ENDO,Medical abortion → deferral period after procedure. Emergency contraception (ulipristal) different context
Testosterone,לבדוק — טסטוסטרון / סטרואידים אנבוליים,"T-cypionate, T-enanthate, Fluoxymesterone, Oxandrolone",Y,,33,Gonadal Hormones,ENDO,Hypogonadism replacement may be eligible; anabolic abuse/performance → likely deferral. IM injections → check needle sharing
Finasteride,לבדוק — פינסטריד / BPH / התקרחות,Dutasteride,Y,,33,Gonadal Hormones,ENDO,Known deferral in some blood banks due to teratogenicity risk (pregnant woman receiving blood). Check MDA specific criteria
Danazol,לבדוק — אנדומטריוזיס / סרטן שד,Progestins (for endometriosis),Y,,33,Gonadal Hormones,ENDO,"Deferral likely by condition (endometriosis, breast cancer) rather than by drug"
Enzalutamide,לבדוק — סרטן ערמונית,"Apalutamide, Darolutamide, Abiraterone, Flutamide, Bicalutamide",Y,,33,Gonadal Hormones,ENDO,Prostate cancer → likely permanent deferral by condition
Leuprolide (xref),לבדוק — xref deck 30,All GnRH agonists,Y,,33,Gonadal Hormones,ENDO,Cross-ref to deck 30; used in prostate cancer + endometriosis + precocious puberty
Medroxyprogesterone (Depo-Provera),לבדוק — מניעת הריון בזריקה,Etonogestrel implant,Y,,33,Gonadal Hormones,ENDO,IM injection every 3 months; check injection-related deferral + contraceptive criteria
Prednisone / Prednisolone,לבדוק — סטרואידים (קורטיקוסטרואידים),"All systemic GCs: hydrocortisone, methylprednisolone, dexamethasone, betamethasone",Y,,34,Adrenocorticosteroids,ENDO,VERY common. Key question: WHY is donor taking steroids? The underlying condition often determines eligibility more than the drug itself. Chronic high-dose → immunosuppression concern
Dexamethasone,לבדוק — סטרואידים (קורטיקוסטרואידים),"Betamethasone, methylprednisolone",Y,,34,Adrenocorticosteroids,ENDO,"Used in COVID-19 (2020 onward); also cerebral edema, chemotherapy antiemetic. Short courses may be eligible"
"Inhaled GCs (beclomethasone, budesonide, fluticasone)",לבדוק — סטרואידים בשאיפה / אסטמה,"All inhaled GCs: ciclesonide, mometasone, flunisolide",Y,,34,Adrenocorticosteroids,ENDO,"Inhaled GCs for stable asthma = very common, minimal systemic effect. Likely eligible if asthma well-controlled"
"Topical GCs (hydrocortisone cream, betamethasone cream)",לבדוק — סטרואידים טופיקליים,All topical GC creams/ointments,Y,,34,Adrenocorticosteroids,ENDO,OTC topical hydrocortisone very common; minimal systemic absorption. Likely eligible unless severe skin condition
Fludrocortisone,לבדוק — אי-ספיקת אדרנל / אדיסון,Hydrocortisone (replacement),Y,,34,Adrenocorticosteroids,ENDO,Addison's disease = chronic condition requiring lifelong replacement. Eligibility depends on disease stability
Spironolactone,לבדוק — ספירונולקטון / משתנים,"Eplerenone, Finerenone",Y,,34,Adrenocorticosteroids,ENDO,"Multiple indications: HF, HTN, hirsutism, hyperaldosteronism. xref→decks 19/20/21. Eligibility depends on underlying condition"
Ketoconazole (for Cushing's),לבדוק — קושינג,"Osilodrostat, Metyrapone",Y,,34,Adrenocorticosteroids,ENDO,Cushing's = serious condition → likely deferral by condition. Also xref→deck 27 as antifungal (different context)
ALL CYTOTOXIC CHEMOTHERAPY,לבדוק — סרטן פעיל / כמותרפיה,All cytotoxic agents,Y,,35,Anti-Cancer Drugs,ONCO,"Cancer = almost always PERMANENT DEFERRAL by condition. Active chemo = absolute deferral (myelosuppression, immune compromise). This is the single most important MDA rule for this entire deck"
"Methotrexate (low-dose, for RA/psoriasis)",לבדוק — מתוטרקסט במינון נמוך,Leflunomide (xref deck 18),Y,,35,Anti-Cancer Drugs,ONCO,Low-dose MTX for autoimmune conditions is DIFFERENT from cancer doses. Common in RA/psoriasis. Eligibility depends on underlying condition + immunosuppression level
Tamoxifen / Anastrozole (breast cancer survivors),לבדוק — סרטן שד (מחלימים),"All hormonal agents: letrozole, fulvestrant, exemestane + CDK4/6i",Y,,35,Anti-Cancer Drugs,ONCO,IMPORTANT for MDA: Many breast cancer survivors take hormonal therapy for 5-10 YEARS after treatment. They may present as healthy donors. Need clear policy on cancer survivors + ongoing hormonal therapy
"Checkpoint inhibitors (pembrolizumab, nivolumab)",לבדוק — אימונותרפיה לסרטן,All PD-1/PD-L1/CTLA-4 inhibitors,Y,,35,Anti-Cancer Drugs,ONCO,Immunotherapy can produce long-term remissions. Growing population of 'cancer-free' patients still on maintenance immunotherapy. Immune-related AEs may affect multiple organs
Imatinib / CML patients,לבדוק — CML / מעכבי קינאז,All BCR-ABL TKIs,Y,,35,Anti-Cancer Drugs,ONCO,CML patients on imatinib can have normal life expectancy and feel healthy. They may present as donors. Lifetime oral medication. Need MDA policy clarity
Cyclophosphamide (for autoimmune),לבדוק — ציקלופוספמיד (מחלות אוטואימוניות),Other immunosuppressants (xref deck 18),Y,,35,Anti-Cancer Drugs,ONCO,"Cyclophosphamide sometimes used for severe RA, SLE, vasculitis — NOT cancer. Different deferral logic than cancer use"
Ondansetron (Zofran),לבדוק — אונדנסטרון (נוגד הקאה),All 5-HT3 antagonists,Y,,35,Anti-Cancer Drugs,ONCO,"Also used outside oncology: post-operative nausea, pregnancy nausea. If donor takes ondansetron, ask WHY — could be benign use"
Digoxin / Digitoxin,לבדוק — אי ספיקת לב,All cardiac glycosides,Y,לבדוק,21,Heart Failure,CV,HF patients unlikely to donate (condition-based deferral). Narrow therapeutic index drug
Milrinone,לבדוק — אי ספיקת לב אקוטית,PDE3 inhibitors,Y,לבדוק,21,Heart Failure,CV,IV-only drug = hospitalized patient = not a donor scenario
